emoji,n,length
character(0),710,0
"c(""\U0001f3e0"", ""\U0001f4b8"")",24,2
"c(""\U0001f386"", ""\U0001f942"", ""\U0001f37e"")",17,3
ğŸ˜,15,1
ğŸ ,15,1
ğŸ•,14,1
ğŸ¥‚,10,1
ğŸ‰,9,1
ğŸˆ,9,1
ğŸ˜,8,1
ğŸ£,7,1
ğŸ,7,1
ğŸ”¥,7,1
ğŸ¥³,6,1
ğŸ¤ª,6,1
ğŸ¡,6,1
ğŸš—,6,1
ğŸ¥–,6,1
ğŸš•,6,1
â¤ï¸,5,1
ğŸ¶,5,1
"c(""\U0001f4bb"", ""\U0001f4b8"")",5,2
ğŸ”,4,1
ğŸ“±,4,1
ğŸ§€,4,1
ğŸ²,4,1
ğŸ’¯,4,1
ğŸ¾,4,1
"c(""\U0001f373"", ""\U0001f379"")",4,2
ğŸ˜­,4,1
ğŸ˜,3,1
"c(""\U0001f373"", ""\u2615"")",3,2
ğŸ˜˜,3,1
ğŸ‘‘,3,1
ğŸ,3,1
ğŸŒ¼,3,1
"c(""\U0001f951"", ""\U0001f345"", ""\U0001f347"")",3,3
ğŸšŒ,3,1
"c(""\U0001f911"", ""\U0001f389"", ""\U0001f38a"")",3,3
ğŸ‘ğŸ½,3,1
ğŸ˜“,3,1
"c(""\U0001f601"", ""\U0001f601"", ""\U0001f601"")",3,3
"c(""\U0001f980"", ""\U0001f370"")",3,2
"c(""âœˆï¸"", ""\U0001f6eb"")",3,2
"c(""\U0001f32f"", ""\U0001f32e"", ""\U0001f959"")",3,3
"c(""\U0001f3e8"", ""\U0001f3e8"", ""\U0001f3e8"", ""\U0001f942"", ""\U0001f4a5"")",3,5
"c(""\U0001f4ab"", ""\U0001f48e"", ""\U0001f495"")",3,3
ğŸ¥˜,3,1
"c(""\U0001f363"", ""\U0001f376"", ""\U0001f60d"")",3,3
ğŸ§,3,1
ğŸ¥¦,3,1
ğŸ´,3,1
ğŸ¥“,3,1
"c(""\U0001f699"", ""\U0001f697"")",3,2
ğŸ¤·ğŸ½â€â™€ï¸,3,1
"c(""\U0001f416"", ""\U0001f943"")",3,2
"c(""\U0001f3e0"", ""\U0001f4b0"")",3,2
"c(""\U0001f969"", ""\U0001f969"", ""\U0001f969"")",3,3
"c(""\U0001f699"", ""\U0001f4a8"")",3,2
ğŸ©,3,1
ğŸ¶,3,1
ğŸ‘¾,3,1
"c(""\U0001f356"", ""\U0001f969"")",3,2
ğŸ™ƒ,3,1
ğŸ„,3,1
ğŸ¤™ğŸ¼,3,1
ğŸ¥,3,1
ğŸ,3,1
"c(""\U0001f404"", ""\U0001f988"")",3,2
"c(""\U0001f525"", ""\U0001f354"", ""\U0001f937â€â™‚ï¸"", ""\U0001f914"")",3,4
ğŸ¤™ğŸ»,3,1
"c(""\U0001f354"", ""\U0001f451"")",3,2
"c(""\U0001f354"", ""\U0001f9c2"")",3,2
ğŸ¢,3,1
"c(""\U0001f695"", ""\U0001f695"")",3,2
ğŸ‚,3,1
"c(""\U0001f430"", ""\U0001f430"", ""\U0001f4f8"")",3,3
"c(""\U0001f4a1"", ""\U0001f453"", ""\U0001f6cc"", ""\U0001f4a9"")",3,4
ğŸš€,3,1
"c(""9ï¸âƒ£"", ""â–«ï¸"", ""2ï¸âƒ£"", ""8ï¸âƒ£"", ""â–«ï¸"", ""2ï¸âƒ£"", ""0ï¸âƒ£"", ""1ï¸âƒ£"", ""9ï¸âƒ£"", ""â¤ï¸"")",3,10
"c(""\U0001f362"", ""\U0001f362"", ""\U0001f362"", ""\U0001f362"", ""\U0001f362"", ""\U0001f362"", ""\U0001f362"", ""\U0001f362"", ""\U0001f362"", ""\U0001f362"", ""\U0001f362"", ""\U0001f362"", ""\U0001f362"", ""\U0001f362"", ""\U0001f362"")",3,15
"c(""\U0001f3e0"", ""\U0001f4b8"", ""\U0001f3e0"", ""\U0001f4b8"")",3,4
ğŸ¤·â€â™€ï¸,3,1
ğŸŒµ,3,1
"c(""\U0001f355"", ""\U0001f35d"")",3,2
"c(""\U0001f4a7"", ""\U0001f4a7"", ""\U0001f982"", ""\U0001f984"")",3,4
"c(""\U0001f377"", ""\U0001f377"", ""\U0001f377"")",3,3
ğŸ”Œ,3,1
"c(""\u2615"", ""\U0001f950"", ""\U0001f95e"", ""\U0001f373"", ""\U0001f953"")",3,5
ğŸ‘™,3,1
"c(""\u2615"", ""\U0001f3a5"", ""\U0001f629"", ""\U0001f918"", ""\U0001f60e"", ""\U0001f920"")",3,6
ğŸ¤,3,1
ğŸŸ,2,1
"c(""\U0001f4a1"", ""\U0001f50c"")",2,2
"c(""\U0001f382"", ""\U0001f389"")",2,2
"c(""\U0001f64f\U0001f3fc"", ""\U0001f525"")",2,2
"c(""\U0001f431"", ""\U0001f944"", ""\U0001f35f"", ""\U0001f354"", ""\U0001f4b5"", ""\U0001f4b0"")",2,6
"c(""\U0001f942"", ""\U0001f389"")",2,2
"c(""\U0001f355"", ""\U0001f357"", ""\U0001f9d4\U0001f3fb"", ""\U0001f436"", ""\U0001f3ac"")",2,5
ğŸ¸,2,1
"c(""\u2615"", ""\u2615"")",2,2
ğŸ¨,2,1
ğŸ˜·,2,1
ğŸ¯,1,1
"c(""\U0001f3e1"", ""â¤ï¸"")",1,2
"c(""\u270a\U0001f3fe"", ""\U0001f346"", ""\U0001f4a6"", ""\U0001f61b"")",1,4
ğŸŒ¯,1,1
"c(""\U0001f534"", ""\U0001f518"")",1,2
"c(""\U0001f3e0"", ""\U0001f96a"")",1,2
ğŸ˜Ÿ,1,1
ğŸ§¬,1,1
"c(""\U0001f976"", ""\U0001f976"")",1,2
ğŸ¥©,1,1
ğŸŒ±,1,1
"c(""\U0001f4fa"", ""\U0001f3c8"")",1,2
"c(""\U0001f4b5"", ""\U0001f440"", ""\U0001f64c\U0001f3fc"")",1,3
"c(""\U0001f346"", ""\U0001f346"")",1,2
"c(""\U0001f353"", ""\U0001f353"", ""\U0001f353"", ""\U0001f353"", ""\U0001f353"", ""\U0001f353"", ""\U0001f353"", ""\U0001f353"", ""\U0001f353"", ""\U0001f353"")",1,10
"c(""\U0001f3b0"", ""\U0001f623"")",1,2
ğŸ’š,1,1
ğŸ†,1,1
"c(""\U0001f942"", ""\U0001f96a"")",1,2
ğŸŒ²,1,1
"c(""\U0001f335"", ""\U0001f335"")",1,2
ğŸ¿,1,1
â„ï¸,1,1
"c(""\U0001f4f7"", ""\U0001f476"")",1,2
ğŸ’œ,1,1
"c(""\U0001f4f1"", ""\U0001f697"", ""\U0001f4b8"")",1,3
"c(""\U0001f455"", ""\U0001f4a6"")",1,2
â˜ƒï¸,1,1
"c(""\U0001f919\U0001f3fd"", ""\U0001f919\U0001f3fd"", ""\U0001f919\U0001f3fd"")",1,3
"c(""\U0001f96f"", ""\U0001f96f"")",1,2
ğŸ’€,1,1
"c(""\U0001f3a8"", ""\U0001f31a"")",1,2
"c(""\U0001f353"", ""\U0001f363"", ""\U0001f372"", ""\U0001f618"")",1,4
ğŸ‘ŒğŸ½,1,1
ğŸ™„,1,1
ğŸ¤¤,1,1
ğŸ’ƒğŸ»,1,1
"c(""\U0001f4a6"", ""\U0001f50c"", ""\U0001f525"")",1,3
âš¡,1,1
"c(""\U0001f385"", ""\U0001f384"")",1,2
"c(""\U0001f456"", ""\U0001f3b2"")",1,2
ğŸ¤ ,1,1
ğŸœ,1,1
"c(""\U0001f459"", ""\U0001f93a"")",1,2
â­,1,1
ğŸ†,1,1
"c(""\U0001f3e0"", ""5ï¸âƒ£"")",1,2
"c(""\U0001f4f1"", ""\U0001f697"")",1,2
"c(""\U0001f389"", ""\U0001f38a"", ""\U0001f386"")",1,3
"c(""\U0001f385"", ""\U0001f381"")",1,2
"c(""\U0001f3bf"", ""\u26fd"")",1,2
ğŸ‡¨ğŸ‡³,1,1
ğŸ¿,1,1
ğŸ¤«,1,1
ğŸ¦,1,1
âš”ï¸,1,1
ğŸ˜›,1,1
"c(""\U0001f41f"", ""\U0001f41f"", ""\U0001f41f"")",1,3
âŒš,1,1
"c(""\U0001f973"", ""\U0001f973"", ""\U0001f973"")",1,3
ğŸ‡®ğŸ‡¹,1,1
ğŸ¥€,1,1
ğŸ®,1,1
ğŸ”,1,1
"c(""\U0001f436"", ""\U0001f431"", ""\U0001f436"")",1,3
"c(""\U0001f3e0"", ""\u26f3"")",1,2
"c(""\U0001f3c4â€â™‚ï¸"", ""\u2795"", ""\U0001f6ae"", ""\u2796"", ""\U0001f310"")",1,5
ğŸ¥—,1,1
"c(""\U0001f3c8"", ""\U0001f3c8"")",1,2
ğŸ˜‰,1,1
"c(""\U0001f44d\U0001f3fb"", ""\U0001f44d\U0001f3fb"")",1,2
ğŸ“,1,1
"c(""\U0001f973"", ""\U0001f64c\U0001f3fb"", ""\U0001f484"", ""\U0001f468\U0001f3fbâ€\U0001f3a4"", ""\U0001f9dc\U0001f3fbâ€â™‚ï¸"")",1,5
"c(""\U0001f377"", ""\U0001f942"", ""\U0001f973"", ""\U0001f92a"")",1,4
â›³,1,1
"c(""\U0001f449"", ""\U0001f44c"")",1,2
"c(""\U0001f436"", ""\U0001f436"")",1,2
ğŸ“®,1,1
ğŸ‘‹ğŸ¼,1,1
ğŸ’•,1,1
"c(""\U0001f980"", ""\U0001f389"")",1,2
"c(""\U0001f97a"", ""\U0001f97a"")",1,2
ğŸ¤—,1,1
"c(""\U0001f375"", ""\U0001f366"")",1,2
"c(""\U0001f468\U0001f3fb"", ""\U0001f381"")",1,2
ğŸ¦„,1,1
ğŸ‘³ğŸ¿â€â™‚ï¸,1,1
ğŸ¥¶,1,1
ğŸ³,1,1
âœˆï¸,1,1
"c(""\U0001f37f"", ""\U0001f3a5"")",1,2
"c(""\U0001f618"", ""\U0001f384"")",1,2
"c(""\U0001f436"", ""\U0001f43e"", ""â¤ï¸"")",1,3
ğŸ‹ï¸â€â™€ï¸,1,1
ğŸ’°,1,1
ğŸº,1,1
"c(""\U0001f953"", ""â¤ï¸"")",1,2
ğŸ˜‚,1,1
ğŸš™,1,1
"c(""\U0001f4f1"", ""\U0001f4b8"")",1,2
"c(""\U0001f929"", ""\U0001f973"")",1,2
"c(""\U0001f4aa\U0001f3fd"", ""\U0001f4aa\U0001f3fd"")",1,2
"c(""\U0001f38a"", ""\U0001f38a"", ""\U0001f38a"")",1,3
"c(""\U0001f525"", ""\U0001f50c"")",1,2
"c(""\U0001f32e"", ""\U0001f514"")",1,2
"c(""\U0001f37e"", ""\u2728"", ""\U0001f973"")",1,3
ğŸ¦˜,1,1
